Hall ticket (10th class),10th GPA,Govt/Private School,Caste,Gender,Mandal,District,State,Chance of Admit
1717127964,8.2,Govt school,BC-A,Female,Vajrakarur,Anantapur,Ap,0.26
1720159280,8.2,Govt school,SC,Male,Veera balli,Kadapa,Ap,0.27
1719104252,8.1,Govt school,BC-B,Female,Dharmavaram,Anantapur,Ap,0.24
1722131722,8.1,Govt school,BC-B,Female,Kondapuram,Kadapa,Ap,0.23
1716132057,8.1,Govt school,BC-E,Female,Nimmanapalli,Chittoor,Ap,0.24
1717137809,8.1,Govt school,SC,Male,Punganur ,Chittoor ,Ap,0.25
1724105497,8.1,Govt school,OC,Female,UYYALAWADA ,Kurnool,Ap,0.23
1720144779,8.1,Govt school,BC-A,Male,Venkatagiri kota,Chittoor,Ap,0.24
1722122332,8,Govt school,OC,Male,Gudipala,Chittoor,Ap,0.21
1711102112,8,Govt school,OC,Female,K.V.Palli,Chittoor,Ap,0.21
1720156930,8,Govt school,BC-E,Female,KVB puram,Chittoor,Ap,0.22
1720156816,8,Govt school,OC,Male,Ramasamudram,Chittoor,Ap,0.21
1720123575,7.9,Private,BC-D,Male,BN KANDRIGA,Chittoor,Ap,0.13
1720141596,7.9,Private,OC,Female,Chittamur ,Nellore ,Ap,0.12
1724101187,7.9,Private,BC-D,Female,Gudipala,Chittoor,Ap,0.13
1722127010,7.9,Private,OC,Female,Gudur,Nellore,Ap,0.12
1715132516,7.9,Govt school,BC-A,Female,Adoni ,Kurnool ,Ap,0.2
1724123134,7.9,Govt school,BC-E,Female,Bangarupalyam,Chittoor,Ap,0.2
1720117304,7.9,Govt school,BC-D,Male,Hiramandal,Srikakulam ,Ap,0.2
1717141335,7.9,Govt school,BC-E,Female,Kolimigundla ,Kurnool ,Ap,0.2
1718105937,7.9,Govt school,SC,Female,Nindra,Chittoor,Ap,0.21
1717109529,7.9,Govt school,BC-B,Female,Uravakonda ,Anantapur ,Ap,0.2
1718110349,7.9,Govt school,SC,Female,Vidavalur,Nellore,Ap,0.21
1720143134,7.9,Govt school,BC-B,Male,Yemmiganur,Kurnool,Ap,0.2
1717140781,7.8,Private,OC,Male,Thondur,Kadapa ,Ap,0.1
1724103525,7.8,Govt school,BC-B,Female,Agali,Anantapur,Ap,0.19
1717122825,7.8,Govt school,BC-E,Female,Atmakur,Nellore,Ap,0.19
1718100144,7.8,Govt school,OC,Female,Chapadu,Kadapa,Ap,0.18
1722127374,7.8,Govt school,OC,Female,Duthalur ,Nellore,Ap,0.18
1720150057,7.8,Govt school,BC-E,Female,Kadiri ,Anantapur ,Ap,0.19
1720130689,7.8,Govt school,BC-B,Male,Kodumur,Kurnool ,Ap,0.19
1717127131,7.8,Govt school,BC-B,Female,Kurabalakota ,Chittoor ,Ap,0.19
1722113444,7.8,Govt school,BC-B,Female,Mandal,Anantapur,Ap,0.19
1720120288,7.8,Govt school,BC-B,Male,Rayachoty ,Annamaya,Ap,0.19
1718128701,7.8,Govt school,BC-B,Female,S. R. Puram,Chittoor,Ap,0.19
1716108486,7.8,Govt school,BC-B,Female,Yemmiganur,Kurnool,Ap,0.19
1718125196,7.7,Private,BC-A,Female,Mantralayam,Kurnool,Ap,0.1
1724126271,7.7,Govt school,OC,Female,Chilamathur,Anantapur,Ap,0.16
1722138771,7.7,Govt school,BC-B,Female,Mulakalacheruvu,Chittoor ,Ap,0.18
1722136791,7.7,Govt school,SC,Male,Srikalahasti,Chittoor,Ap,0.19
1722136839,7.7,Govt school,BC-D,Female,Velgode,Kurnool,Ap,0.18
1719101961,7.7,Govt school,BC-B,Female,Yemmiganur ,Kurnool ,Ap,0.18
1717133174,7.6,Private,BC-B,Male,Dharmavaram,Anantapur ,Ap,0.1
1720153853,7.6,Govt school,SC,Female,Gangadhara Nellore,Chittoor,Ap,0.18
1719103747,7.6,Govt school,OC,Female,Gollapalli,Chittoor,Ap,0.15
1719111769,7.6,Govt school,OC,Female,Marripadu,Nellore,Ap,0.15
1717127167,7.6,Govt school,BC-B,Female,Mudigubba,Anantapur ,Ap,0.16
1718120368,7.6,Govt school,BC-D,Male,Yemmiganur ,Kurnool ,Ap,0.16
1709116273,7.5,Private,BC-B,Male,Kallur,Kurnool,Ap,0.1
1718125325,7.5,Govt school,BC-D,Female,Duttalur,Nellore,Ap,0.14
1722134368,7.5,Govt school,OC,Female,Obulavaripalli ,Kadapa,Ap,0.13
1723110803,7.5,Govt school,BC-A,Female,Penumur,Chittoor,Ap,0.15
1722114377,7.5,Govt school,BC-D,Male,Sirivella,Kurnool,Ap,0.15
1724115311,7.4,Private,SC,Male,Allagadda,Kurnool,Ap,0.14
1724134044,7.4,Private,BC-B,Male,Mantralayam,Kurnool,Ap,0.12
1717141124,7.4,Govt school,BC-B,Female,Dharmavaram ,Anantapur ,Ap,0.15
1719107443,7.4,Govt school,BC-E,Female,Srikalahasthi,Chittoor,Ap,0.15
1722143224,7.4,Govt school,OC,Male,Thavanampalle,Chittoor,Ap,0.14
1717123917,7.3,Govt school,ST,Male,Gandlapenta,Anantapur ,Ap,0.15
1722127493,7.3,Govt school,BC-B,Male,Hindupur ,Anantapur ,Ap,0.13
1717127427,7.3,Govt school,BC-B,Female,Kothacheruvu,Anantapur,Ap,0.13
1724101391,7.3,Govt school,BC-E,Male,M.Thimmapuram,Kurnool ,Ap,0.13
1720122274,7.3,Govt school,OC,Male,Nandyal,Kurnool,Ap,0.12
1720159429,7.3,Govt school,BC-A,Female,Nindra,Chittoor ,Ap,0.13
1720128188,7.3,Govt school,BC-B,Female,Rayachoty,Kadapa,Ap,0.13
1718118802,7.2,Govt school,OC,Male,Hindupur,Anantapur,Ap,0.12
1723109371,7.2,Govt school,BC-B,Female,Nandikotkur,Kurnool,Ap,0.13
1719109337,7.2,Govt school,SC,Male,Owk,Kurnool,Ap,0.13
1724101095,7.2,Govt school,SC,Male,PUTHALAPATTU,Chitoor,Ap,0.13
1713127276,7.1,Private,OC,Female,Parigi,Anantapur,Ap,0.1
1724108453,7.1,Govt school,OC,Female,Bathalapalle,Anantapur,Ap,0.11
1714134469,7.1,Govt school,BC-B,Male,Jaladanki,Nellore,Ap,0.12
1719106745,7.1,Govt school,OC,Male,Kavali,Nellore,Ap,0.1
1723119010,7.1,Govt school,OC,Female,Rapur,Nellore,Ap,0.11
1719109355,7,Govt school,BC-B,Male,Alur,Kurnool,Ap,0.13
1720154796,7,Govt school,SC,Female,Chinnamandem,Kadapa,Ap,0.15
1720120372,7,Govt school,BC-B,Male,Madakasira,Anantapur,Ap,0.12
1724107538,7,Govt school,BC-A,Female,Vijayapuram ,Chittoor ,Ap,0.12
1720151166,6.9,Govt school,OC,Female,Duttalur,Nellore,Ap,0.1
1717142121,6.9,Govt school,BC-B,Female,Venkatagiri ,Nellore ,Ap,0.11
1718128082,6.9,Govt school,BC-B,Female,Yemmiganur,Kurnool,Ap,0.11
1718117056,6.8,Govt school,OC,Male,Kadapa ,Kadapa ,Ap,0.09
